DATAFLOW,LAST UPDATE,freq,siec,nrg_cons,unit,tax,currency,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,AT,2012-S2,0.1568,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,AT,2013-S1,0.1587,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,AT,2013-S2,0.158,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,AT,2014-S1,0.1548,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,AT,2014-S2,0.1523,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,AT,2015-S1,0.1495,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,AT,2015-S2,0.151,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,AT,2016-S1,0.1519,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,AT,2016-S2,0.149,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,AT,2017-S1,0.143,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,AT,2017-S2,0.1463,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,AT,2018-S1,0.1463,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,AT,2018-S2,0.1480,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,AT,2019-S1,0.1522,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,AT,2019-S2,0.1514,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,AT,2020-S1,0.1614,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,AT,2020-S2,0.1624,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,AT,2021-S1,0.1683,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,AT,2021-S2,0.1796,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,AT,2022-S1,0.1967,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,AT,2022-S2,0.2274,e,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,AT,2023-S1,0.3110,e,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,AT,2023-S2,0.3163,e,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,AT,2024-S1,0.2791,e,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,AT,2024-S2,0.2693,e,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,AT,2025-S1,0.2785,e,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BA,2012-S1,0.1034,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BA,2012-S2,0.105,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BA,2013-S1,0.1043,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BA,2013-S2,0.1031,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BA,2014-S1,0.1032,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BA,2014-S2,0.1012,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BA,2015-S1,0.102,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BA,2015-S2,0.1012,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BA,2016-S1,0.1003,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BA,2016-S2,0.1005,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BA,2017-S1,0.0984,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BA,2017-S2,0.0995,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BA,2018-S1,0.1016,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BA,2018-S2,0.0981,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BA,2019-S1,0.1029,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BA,2019-S2,0.1027,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BA,2020-S1,0.1061,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BA,2020-S2,0.1061,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BA,2021-S1,0.1042,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BA,2021-S2,0.1041,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BA,2022-S1,0.1018,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BA,2022-S2,0.1205,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BA,2023-S1,0.1150,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BA,2023-S2,0.1147,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BA,2024-S1,0.1173,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BA,2024-S2,0.1207,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BA,2025-S1,0.1448,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BE,2007-S2,0.1435,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BE,2008-S1,0.1706,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BE,2008-S2,0.1728,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BE,2009-S1,0.1605,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BE,2009-S2,0.1547,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BE,2010-S1,0.1562,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BE,2010-S2,0.1584,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BE,2011-S1,0.1721,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BE,2011-S2,0.1743,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BE,2012-S1,0.1762,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BE,2012-S2,0.1801,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BE,2013-S1,0.1749,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BE,2013-S2,0.1729,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BE,2014-S1,0.1705,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BE,2014-S2,0.1742,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BE,2015-S1,0.1706,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BE,2015-S2,0.1759,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BE,2016-S1,0.1803,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BE,2016-S2,0.1895,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BE,2017-S1,0.1939,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BE,2017-S2,0.1869,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BE,2018-S1,0.1727,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BE,2018-S2,0.1841,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BE,2019-S1,0.1923,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BE,2019-S2,0.1848,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BE,2020-S1,0.1872,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BE,2020-S2,0.1821,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BE,2021-S1,0.1888,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BE,2021-S2,0.2159,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BE,2022-S1,0.2834,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BE,2022-S2,0.3551,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BE,2023-S1,0.3130,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BE,2023-S2,0.2875,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BE,2024-S1,0.2507,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BE,2024-S2,0.2560,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BE,2025-S1,0.2800,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BG,2007-S2,0.0767,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BG,2008-S1,0.0767,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BG,2008-S2,0.0874,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BG,2009-S1,0.0879,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BG,2009-S2,0.0864,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BG,2010-S1,0.0854,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BG,2010-S2,0.0851,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BG,2011-S1,0.0864,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BG,2011-S2,0.0929,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BG,2012-S1,0.0953,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BG,2012-S2,0.109,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BG,2013-S1,0.1112,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BG,2013-S2,0.1069,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BG,2014-S1,0.105,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BG,2014-S2,0.1093,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BG,2015-S1,0.1075,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BG,2015-S2,0.1239,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BG,2016-S1,0.1285,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BG,2016-S2,0.1136,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BG,2017-S1,0.1069,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BG,2017-S2,0.1125,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BG,2018-S1,0.1130,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BG,2018-S2,0.1162,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BG,2019-S1,0.1194,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BG,2019-S2,0.1136,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BG,2020-S1,0.1117,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BG,2020-S2,0.1150,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BG,2021-S1,0.1222,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BG,2021-S2,0.1853,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BG,2022-S1,0.2165,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BG,2022-S2,0.2431,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BG,2023-S1,0.1989,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BG,2023-S2,0.1759,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BG,2024-S1,0.1500,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BG,2024-S2,0.1699,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,BG,2025-S1,0.1667,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,CY,2007-S2,0.1708,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,CY,2008-S1,0.19,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,CY,2008-S2,0.2213,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,CY,2009-S1,0.1701,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,CY,2009-S2,0.1807,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,CY,2010-S1,0.1996,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,CY,2010-S2,0.212,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,CY,2011-S1,0.2199,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,CY,2011-S2,0.2582,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,CY,2012-S1,0.3109,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,CY,2012-S2,0.2804,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,CY,2013-S1,0.278,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,CY,2013-S2,0.2521,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,CY,2014-S1,0.2363,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,CY,2014-S2,0.2401,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,CY,2015-S1,0.1975,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,CY,2015-S2,0.1903,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,CY,2016-S1,0.155,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,CY,2016-S2,0.174,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,CY,2017-S1,0.1963,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,CY,2017-S2,0.18,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,CY,2018-S1,0.1794,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,CY,2018-S2,0.2201,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,CY,2019-S1,0.2075,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,CY,2019-S2,0.2192,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,CY,2020-S1,0.1928,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,CY,2020-S2,0.1661,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,CY,2021-S1,0.1904,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,CY,2021-S2,0.2303,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,CY,2022-S1,0.2899,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,CY,2022-S2,0.3815,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,CY,2023-S1,0.3514,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,CY,2023-S2,0.3376,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,CY,2024-S1,0.3085,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,CY,2024-S2,0.3140,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,CY,2025-S1,0.2937,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,CZ,2007-S2,0.13,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,CZ,2008-S1,0.1564,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,CZ,2008-S2,0.1602,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,CZ,2009-S1,0.1581,,
